Book_Name,Author_Name,Book_URL,Edition_Type,Price,Star_Rating,Reviews
The Tie That Binds: A Marriage of Convenience Novel,Catharina Maura,https://amazon.in/Tie-That-Binds-Marriage-Convenience-ebook/dp/B0899VVY5D/ref=zg_bs_g_1318168031_sccl_24/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.3 out of 5 stars,"3,309"
It Starts With Us [Paperback] Kunex,Missing,https://amazon.in/Starts-Us-Colleen-Hoover/dp/1398518174/ref=zg_bs_g_1318168031_sccl_25/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,Kunex
Lessons in Chemistry,Missing,https://amazon.in/Lessons-Chemistry-Sunday-bestseller-Between/dp/1804990922/ref=zg_bs_g_1318168031_sccl_26/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,Garmus Bonnie
Sindhanaiye Endhan Sithame: சிந்தனையே என்றன் சித்தமே (Tamil Edition),Missing,https://amazon.in/Sindhanaiye-Endhan-Sithame-%E0%AE%9A%E0%AE%BF%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%88%E0%AE%AF%E0%AF%87-%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%87-ebook/dp/B0CK72GLJH/ref=zg_bs_g_1318168031_sccl_27/000-0000000-0000000?psc=1,Kindle Edition,Missing,3.7 out of 5 stars,Kavi Bharathi
God of Malice: A Dark College Romance (Legacy of Gods Book 1),Rina Kent,https://amazon.in/God-Malice-College-Romance-Legacy-ebook/dp/B09Z9K12P2/ref=zg_bs_g_1318168031_sccl_28/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.5 out of 5 stars,"17,336"
The Unwanted Marriage: Dion and Faye's Story (The Windsors),Catharina Maura,https://amazon.in/Unwanted-Marriage-Fayes-Story-Windsors-ebook/dp/B0BT9W3ZS2/ref=zg_bs_g_1318168031_sccl_29/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,"16,220"
நெஞ்சோடு நெஞ்சாக செங்காந்தளே (Tamil Edition),உத்ரா  சித்தார்த்,https://amazon.in/%E0%AE%A8%E0%AF%86%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%8B%E0%AE%9F%E0%AF%81-%E0%AE%A8%E0%AF%86%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%95-%E0%AE%9A%E0%AF%86%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B3%E0%AF%87-Tamil-%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D-ebook/dp/B0CJPNXCT7/ref=zg_bs_g_1318168031_sccl_30/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.2 out of 5 stars,112
Reckless Dare: A college love story,M.V. Kasi,https://amazon.in/Reckless-Dare-College-M-V-Kasi-ebook/dp/B09PGM7VSM/ref=zg_bs_g_1318168031_sccl_1/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,514
The Wrong Wife: An Arranged Marriage Romance (Golden Knights Book 1),Maya Alden,https://amazon.in/Wrong-Wife-Arranged-Marriage-Romance-ebook/dp/B0C7FCC5BG/ref=zg_bs_g_1318168031_sccl_2/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.2 out of 5 stars,"1,753"
Chetan bhagat 400 days,Chetan Bhagat,https://amazon.in/Chetan-bhagat-400-days-Bhagat/dp/9356291144/ref=zg_bs_g_1318168031_sccl_3/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"11,015"
Between Love and Loathing: Dom and Clara's Fake Dating Story (Hardy Billionaires),Shain Rose,https://amazon.in/Between-Love-Loathing-Claras-Dating-ebook/dp/B0BYWZ58YL/ref=zg_bs_g_1318168031_sccl_4/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,14
The Temporary Wife: Luca and Valentina's Story (The Windsors),Catharina Maura,https://amazon.in/Temporary-Wife-Valentinas-Story-Windsors-ebook/dp/B0BHN8JB7C/ref=zg_bs_g_1318168031_sccl_5/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,"19,783"
Haunting Adeline (Cat and Mouse Duet Book 1),H. D.  Carlton,https://amazon.in/Haunting-Adeline-Mouse-Duet-Book-ebook/dp/B09CLVJJ77/ref=zg_bs_g_1318168031_sccl_6/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.3 out of 5 stars,"59,991"
காதல் மணிச்சிகைகள் : Kathal manisizaikal (மமதன் முகரா மணிச்சிகை Book 5) (Tamil Edition),Missing,https://amazon.in/%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%8D-%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%95%E0%AF%88%E0%AE%95%E0%AE%B3%E0%AF%8D-Kathal-manisizaikal-%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%95%E0%AF%88-ebook/dp/B0CJYHB4B9/ref=zg_bs_g_1318168031_sccl_7/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.3 out of 5 stars,suja chandran
You are the Best Friend: A True Love Story | Order now to get a Author Signed copy,Ajay K Pandey,https://amazon.in/You-are-Best-Friend-Author/dp/9390441161/ref=zg_bs_g_1318168031_sccl_8/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"3,151"
Worlds Greatest Classics Set of 4 Books,Missing,https://amazon.in/Worlds-Greatest-Classics-Box-Books/dp/9354401570/ref=zg_bs_g_1318168031_sccl_9/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"Jane Austen F. Scott Fitzgerald, Oscar Wilde, Emily Brontë"
Professor Astor (Off-Limits),Catharina Maura,https://amazon.in/Professor-Astor-Off-Limits-Catharina-Maura-ebook/dp/B09BNCZGS4/ref=zg_bs_g_1318168031_sccl_10/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,"5,397"
அனிச்சம் தீண்டிய அரிமா அவன் (அனிச்சம் தீண்டிய அரிமா அவன் 1) (Tamil Edition),SANAGEETH NOVELS,https://amazon.in/%E0%AE%85%E0%AE%A9%E0%AE%BF%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%AE%E0%AF%8D-%E0%AE%A4%E0%AF%80%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF-%E0%AE%85%E0%AE%B0%E0%AE%BF%E0%AE%AE%E0%AE%BE-%E0%AE%85%E0%AE%B5%E0%AE%A9%E0%AF%8D-Tamil-ebook/dp/B0CKLK4MKZ/ref=zg_bs_g_1318168031_sccl_11/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.5 out of 5 stars,14
