Book_Name,Author_Name,Book_URL,Edition_Type,Price,Star_Rating,Reviews
Sherlock Holmes - The Complete Novels,Arthur Conan Doyle,https://amazon.in/Sherlock-Holmes-Complete-PREMIUM-PAPERBACK/dp/0143455265/ref=zg_bs_g_1318164031_sccl_16/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,426
The Hidden Hindu,Akshat Gupta,https://amazon.in/Hidden-Hindu-Akshat-Gupta-ebook/dp/B09HHKNKXL/ref=zg_bs_g_1318164031_sccl_17/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,"2,585"
ALEXANDER THE GREAT,Jacob Abbott,https://amazon.in/Alexander-Great-Jacob-Abbott/dp/8175993146/ref=zg_bs_g_1318164031_sccl_18/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"1,469"
The Stationery Shop Of Tehran,Marjan Kamali,https://amazon.in/Stationery-Shop-Tehran-Marjan-Kamali/dp/147118501X/ref=zg_bs_g_1318164031_sccl_19/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"7,544"
புயலுக்கும் பூவுக்கும் சுயம்வரமோ...? (Tamil Edition),Missing,https://amazon.in/%E0%AE%AA%E0%AF%81%E0%AE%AF%E0%AE%B2%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%AA%E0%AF%82%E0%AE%B5%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%9A%E0%AF%81%E0%AE%AF%E0%AE%AE%E0%AF%8D%E0%AE%B5%E0%AE%B0%E0%AE%AE%E0%AF%8B-Tamil-%E0%AE%86%E0%AE%A4%E0%AE%BF%E0%AE%B2%E0%AF%8D-ebook/dp/B0CJLSV7QL/ref=zg_bs_g_1318164031_sccl_20/000-0000000-0000000?psc=1,Kindle Edition,Missing,3.8 out of 5 stars,தாரா  ஆதில் 
Sapiens (L),Yuval Noah Harari,https://amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_4149493031_sccl_1/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,"115,951"
TUESDAYS WITH MORRIE (EXPORT) (A FORMAT),Mitch Albom,https://amazon.in/TUESDAYS-MORRIE-EXPORT-FORMAT-Mitch/dp/0751527378/ref=zg_bs_g_4149493031_sccl_2/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,"23,362"
Animal Stories for Panchtantra 84 pp English 8x8 Book 1,Wonder House Books,https://amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_4149493031_sccl_3/000-0000000-0000000?psc=1,Hardcover,Missing,4.5 out of 5 stars,"4,755"
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Missing,https://amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_4149493031_sccl_4/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,Victor E. Frankl
Meditations,Marcus Aurelius,https://amazon.in/Meditations-Marcus-Aurelius/dp/8175994754/ref=zg_bs_g_4149493031_sccl_5/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"2,765"
The Time Machine-FINGERPRINT,H. G. Wells,https://amazon.in/Time-Machine-H-G-Wells/dp/8175992956/ref=zg_bs_g_4149493031_sccl_6/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"4,179"
Elon Musk,Walter Isaacson,https://amazon.in/Elon-Musk-Walter-Isaacson/dp/1398527491/ref=zg_bs_g_4149493031_sccl_7/000-0000000-0000000?psc=1,Hardcover,Missing,4.7 out of 5 stars,"2,362"
Autobiography of A Yogi (Hindi),Missing,https://amazon.in/Autobiography-Yogi-HINDI-Paramahansa-Yogananda/dp/9389432472/ref=zg_bs_g_4149493031_sccl_8/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,Paramahansa Yogananda
AUTOBIOGRAPHY OF A YOGI,Paramahansa Yogananda,https://amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8129145367/ref=zg_bs_g_4149493031_sccl_9/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,"10,588"
